dataset,layer,kernel,is_trend,n_series,n_points,mean,std,rms,abs_mean,max_abs,energy_sum,energy_mean,energy_ratio
cif_2016_dataset,seasonal_k097,97,0,72,7108,244192.06526128107,10740808.968429295,10743584.46055262,1011453.9211234071,180377984.0,8.204381069897851e+17,115424607061027.73,0.005423925487336608
cif_2016_dataset,seasonal_k125,125,0,72,7108,25992.15660957149,6934740.84299666,6934789.553528733,610079.8093195576,119432192.0,3.4183300412650566e+17,48091306151731.24,0.0022598618076106482
cif_2016_dataset,seasonal_k161,161,0,72,7108,107.87005079778716,4242629.815512958,4242629.816884271,364952.77494472096,74973952.0,1.2794334438022474e+17,17999907763115.465,0.0008458348784713703
cif_2016_dataset,seasonal_k201,201,0,72,7108,5.592940418327466,1940026.867843785,1940026.867851847,165505.48353123563,34345600.0,2.6752409794691936e+16,3763704247987.048,0.00017686047990322045
cif_2016_dataset,seasonal_k301,301,0,72,7108,35.57833689427738,726910.65204513,726910.6529158134,61713.645729181,12872064.0,3755860783768288.0,528399097322.4941,2.4830037584081285e-05
cif_2016_dataset,trend,-1,1,72,7108,17568320.645660397,143974067.15376168,145041986.6904222,17568320.645660397,1483372800.0,1.4953226053526762e+20,2.1037177903104616e+16,0.9885594442609114
covid_deaths_dataset,seasonal_k005,5,0,266,56392,-0.021367669509028034,25.881193763670044,25.881202584306887,2.7924504305137874,1655.80078125,37773428.20946257,669.8366472099335,1.7516567748591755e-05
covid_deaths_dataset,seasonal_k013,13,0,266,56392,-0.22145992071152576,34.911269822672566,34.91197223199987,4.396860627922963,1416.4921875,68733152.64277421,1218.8458051279297,3.187343542569558e-05
covid_deaths_dataset,seasonal_k025,25,0,266,56392,-0.8343732324247055,86.01855289299351,86.02259947534549,11.712092941303606,2809.8837890625,417294462.6949941,7399.8876204957105,0.00019351081099591458
covid_deaths_dataset,seasonal_k049,49,0,266,56392,-3.2230628282760345,238.73115358092312,238.75290956148223,36.29245927147461,6644.70703125,3214510459.2631426,57002.951824073316,0.0014906560751119275
covid_deaths_dataset,seasonal_k097,97,0,266,56392,-12.230211138198353,576.3766944300202,576.5064370382709,101.85637961824773,12369.6669921875,18742426620.41051,332359.6719465618,0.008691373836891713
covid_deaths_dataset,seasonal_k125,125,0,266,56392,-13.1882674580064,611.19757939214,611.3398493909548,116.10762351415863,9854.9609375,21075743714.67761,373736.4114533552,0.009773396541689213
covid_deaths_dataset,seasonal_k161,161,0,266,56392,-12.635150810058896,703.6362834403977,703.7497185859534,133.32317964641743,11273.6875,27928908676.181927,495263.6664098086,0.012951395839894122
covid_deaths_dataset,seasonal_k201,201,0,266,56392,-10.343862697870254,745.5390316325156,745.61078531836,137.77656755488928,13472.3828125,31350311511.9792,555935.4431830614,0.014537993546518314
covid_deaths_dataset,seasonal_k301,301,0,266,56392,-7.559316513375224,972.9674420116673,972.9968070250162,176.41636089683664,17762.546875,53387591375.22959,946722.7864808766,0.02475728059610101
covid_deaths_dataset,trend,-1,1,266,56392,1136.9233370700265,5846.133132248169,5955.658424921987,1136.9233370700265,106418.3203125,2000216755334.82,35469867.274344236,0.9275550027496234
fred_md_dataset,seasonal_k005,5,0,107,77896,-0.05987122618749229,2390.4973653091834,2390.4973660589358,189.71866737514196,220449.0,445134951580.16534,5714477.65713471,0.0006451845795886405
fred_md_dataset,seasonal_k013,13,0,107,77896,0.039089159050317346,2763.0333094707107,2763.0333097472117,213.07342577878018,144867.75,594685566800.9049,7634353.070772631,0.0008619452506298554
fred_md_dataset,seasonal_k025,25,0,107,77896,3.209286952065703,3966.620387598827,3966.6216858729304,321.4397897622017,153992.75,1225622487599.0388,15734087.59883741,0.0017764337008112046
fred_md_dataset,seasonal_k049,49,0,107,77896,13.893391690598342,5600.402775604366,5600.420008832351,494.8699325724242,242159.25,2443185004231.087,31364704.275329757,0.0035411851714102576
fred_md_dataset,seasonal_k097,97,0,107,77896,32.47388511912745,10189.21927764484,10189.271025993172,818.736650243983,349930.75,8087259625828.948,103821244.04114394,0.011721782760918415
fred_md_dataset,seasonal_k125,125,0,107,77896,12.120421107906386,8387.001591229642,8387.010349099159,639.3261186395839,258384.75,5479355960449.944,70341942.59589638,0.007941852148904437
fred_md_dataset,seasonal_k161,161,0,107,77896,-28.495005842785385,7522.120017016848,7522.173988666012,668.7925851894262,179135.0,4407597275671.916,56583101.51576353,0.006388430711193639
fred_md_dataset,seasonal_k201,201,0,107,77896,-72.89817990029722,7229.909514724576,7230.277016528325,703.0880922689762,168318.0,4072161849191.0264,52276905.73573773,0.005902246097190724
fred_md_dataset,seasonal_k301,301,0,107,77896,-168.37411106644828,9943.903517392428,9945.328903786285,1062.3696670855911,242491.375,7704659631381.513,98909567.00448692,0.011167237188408525
fred_md_dataset,trend,-1,1,107,77896,19285.89650243212,89681.62829482145,91731.89334965807,19285.910301378735,1566014.125,655474607099236.0,8414740257.513043,0.9500537023909443
hospital_dataset,seasonal_k005,5,0,767,64428,-0.026941742434169785,42.30513462282392,42.305143201657415,13.538893079801356,1926.39990234375,115308411.40449724,1789.7251413127403,0.0023466870792947336
